time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,reference_progress,pitch_angle
4.80200000,18.77461312,22.42102352,1.79994859,9.47998165,0.11326066,0.18214683,-2.95996977,-0.00000000,-0.00000000,0.89470900,-0.11744530,-0.14233304,0.40674773,0.06151368,-0.66112120,-1.09059708,220,0.00000000
4.86200000,19.33385304,22.42919855,1.80892321,9.16760678,0.15506899,0.11985512,-3.17243554,-0.00000000,-0.00000000,0.90809268,-0.09358556,-0.14807307,0.38037323,0.97053610,-0.02396966,-1.12185805,223,0.00000000
4.94200000,20.05135131,22.44270252,1.81618141,8.78474603,0.17506700,0.07044888,-3.44744241,0.00000000,0.00000000,0.92967753,-0.04557951,-0.12181129,0.34465085,1.38850970,0.54174002,-1.14907531,227,0.00000000
5.00200000,20.57091148,22.45291670,1.82010335,8.54557744,0.16180539,0.06414358,-3.64603894,-0.00000000,-0.00000000,0.94421281,-0.01106861,-0.09233775,0.31593259,1.19001683,0.63641910,-1.15670331,230,0.00000000
5.06200000,21.07748796,22.46169087,1.82420447,8.35015743,0.12854854,0.07413379,-3.83685233,0.00000000,0.00000000,0.95600816,0.01361020,-0.06675507,0.28531896,0.70981678,0.48611889,-1.15169552,233,0.00000000
5.14200000,21.73655883,22.46960048,1.83087900,8.13498508,0.06887490,0.09135889,-4.01881193,0.00000000,0.00000000,0.96851627,0.02555817,-0.05014513,0.24250461,-0.01026199,0.14448203,-1.12263602,236,0.00000000
5.20200000,22.22007085,22.47240775,1.83663058,7.98430015,0.02680865,0.09957778,-4.19087657,-0.00000000,-0.00000000,0.97614511,0.02019063,-0.05151113,0.20995156,-0.44983569,-0.18674423,-1.08123670,239,0.00000000
5.26200000,22.69431172,22.47303026,1.84275269,7.82330470,-0.00298026,0.10371713,-4.35203964,0.00000000,0.00000000,0.98184397,0.00641047,-0.06574209,0.17781816,-0.72175997,-0.54189596,-1.02309390,242,0.00000000
5.34200000,23.31023330,22.47206780,1.85099036,7.56860133,-0.01546370,0.10011218,-4.54830060,0.00000000,0.00000000,0.98533985,-0.01626793,-0.10023170,0.13709244,-0.76184862,-0.89322188,-0.92378401,246,0.00000000
5.40200000,23.75749587,22.47139514,1.85665600,7.33803560,-0.00455313,0.08741990,-4.68034376,-0.00000000,-0.00000000,0.98479578,-0.03009659,-0.13159017,0.10934121,-0.57647680,-0.96610096,-0.83915862,249,0.00000000
5.46200000,24.18987761,22.47178373,1.86124354,7.07429178,0.01861765,0.06312865,-4.76067704,0.00000000,0.00000000,0.98261625,-0.03734348,-0.16084710,0.08484685,-0.29123822,-0.79804352,-0.75160843,251,0.00000000
5.54200000,24.74035412,22.47478644,1.86438458,6.68692859,0.05608356,0.01625087,-4.90180298,-0.00000000,-0.00000000,0.98062503,-0.03455515,-0.18396259,0.05777768,0.09265367,-0.32519969,-0.64132311,255,0.00000000
